# ingestion_year;ingestion_month;ingestion_day;id_sistema_cliente;macroactivo;cod_activo;aba;cod_perfil_riesgo;cod_banca
2023;11;23;10020203023;Renta Fija;1001;654810500;1468;PR
2023;11;23;100900000000;FICs;10007;690893510;1467;PF
2023;11;23;10041560001;Renta Variable;1004;1257500;1466;PN
2023;11;23;100902000000;FICs;1019;1018564215;1467;PF
2023;11;23;10039616197;Renta Variable;1012;13144000;1466;PN
2023;11;23;100900000000;FICs;1019;21341118;1467;PF
2023;11;23;100800000000;FICs;1019;406680358;1467;PY
2023;11;23;10036346714;Renta Variable;1004;1257500;1466;PN
2023;11;23;100890000000;Renta Fija;None;118297000;1468;PR
2023;11;23;10039616197;Renta Variable;1005;74811;1466;PN
2023;11;23;10098522488;Renta Variable;1004;3772500;1466;PN
2023;11;23;1001010000000;FICs;10007;28887486;1468;PN
2023;11;23;10032184607;Renta Variable;None;3885000;1468;PN
2023;11;23;100900000000;FICs;10007;690893510;1467;PF
2023;11;23;10032184607;FICs;1019;74994;1468;PN
2023;11;23;100890000000;FICs;1008;21292766;1468;PR
2023;11;23;100800000000;FICs;1019;406680358;1467;PY
2023;11;23;1001090000000;FICs;10007;1678;1468;PN
2023;11;23;10038643094;Renta Variable;1005;74811;1466;PN
2023;11;23;100890000000;FICs;1019;24637324;1468;PR
2023;11;23;10020203023;FICs;10007;8302039;1468;PR
2023;11;23;10039616197;Renta Variable;1012;13144000;1466;PN
2023;11;23;10039616197;Renta Variable;1005;74811;1466;PN
2023;11;23;100830000000;Renta Variable;1005;124658;1466;PY
2023;11;23;10079142847;Renta Variable;1004;3737290;1468;PF
2023;11;23;100901000000;FICs;1019;28304543;1467;EG
2023;11;23;10020203023;FICs;1019;90403335;1468;PR
2023;11;23;1001050000000;Renta Variable;1004;2515000;1466;PN
2023;11;23;10038643094;FICs;1018;82084649;1466;PN
2023;11;23;1001030000000;Renta Variable;1004;1257500;1468;PN
2023;11;23;10032184607;Renta Variable;1016;4389000;1468;PN
2023;11;23;10020203023;FICs;None;483026998;1468;PR
2023;11;23;10039538018;FICs;10007;322883;1468;PN
2023;11;23;10032184607;Renta Variable;1014;6230400;1468;PN
2023;11;23;10032184607;Renta Variable;1011;6658200;1468;PN
2023;11;23;10039616197;Renta Variable;1004;2515000;1466;PN
2023;11;23;10039553126;FICs;1018;616755;1466;PN
2023;11;23;1004870235;Renta Variable;1004;8324650;1469;PN
2023;11;23;10020203023;FICs;1020;62586311;1468;PR
2023;11;23;10021382511;Renta Variable;1004;2515000;1466;PN
2023;11;23;10032184607;Renta Variable;1002;7350000;1468;PN
2023;11;23;10032184607;Renta Variable;1022;5233011;1468;PN
2023;11;23;10020203023;FICs;1010;151336903;1468;PR
2023;11;23;10066848163;FICs;10007;602570;1466;PN
2023;11;23;10020203023;Renta Fija;1000;424116000;1468;PR
2023;11;23;10039616197;Renta Variable;1004;2515000;1466;PN
2023;11;23;10032184607;Renta Variable;1017;4800000;1468;PN
2023;11;23;1001140000000;Renta Variable;1004;2515000;1466;PN
2023;11;23;10079414250;Renta Variable;1004;1257500;1466;PN
2023;11;23;10020203023;FICs;1009;105872140;1468;PR
2023;11;23;10026419826;Renta Variable;1005;74811;1466;PN
2023;11;23;100900000000;FICs;1019;21341118;1467;PF
2023;11;23;10032184607;Renta Variable;1015;3900000;1468;PN
2023;11;23;10014876058;Renta Variable;1012;7176500;1466;PN
2023;11;23;1001140000000;FICs;10007;10003;1468;PN
2023;11;23;1001140000000;FICs;10007;10003;1468;PN
2023;11;23;10071747544;FICs;10007;598528;1469;PN
2023;11;23;10079142847;Renta Variable;1017;1860000;1468;PF
2023;11;23;10079142847;Renta Variable;1014;3256800;1468;PF
2023;11;24;10039616197;Renta Variable;1012;12923520;1466;PN
2023;11;24;10020203023;FICs;1010;151412706;1468;PR
2023;11;24;10039616197;Renta Variable;1005;74811;1466;PN
2023;11;24;10020203023;FICs;1019;90426312;1468;PR
2023;11;24;1001050000000;Renta Variable;1004;2500000;1466;PN
2023;11;24;10032184607;Renta Variable;1002;7395000;1468;PN
2023;11;24;10014876058;Renta Variable;1012;7056120;1466;PN
2023;11;24;10079414250;Renta Variable;1004;1250000;1466;PN
2023;11;24;100901000000;FICs;1019;28311737;1467;EG
2023;11;24;1001140000000;FICs;10007;10005;1468;PN
2023;11;24;10032184607;Renta Variable;1022;5233011;1468;PN
2023;11;24;100800000000;FICs;1019;406783719;1467;PY
2023;11;24;10036346714;Renta Variable;1004;1250000;1466;PN
2023;11;24;10071747544;FICs;10007;598676;1469;PN
2023;11;24;100900000000;FICs;1019;21346542;1467;PF
2023;11;24;1001140000000;FICs;10007;10005;1468;PN
2023;11;24;10032184607;Renta Variable;1017;4800000;1468;PN
2023;11;24;100900000000;FICs;10007;691063971;1467;PF
2023;11;24;1004870235;Renta Variable;1004;8275000;1469;PN
2023;11;24;1001140000000;Renta Variable;1004;2500000;1466;PN
2023;11;24;10098522488;Renta Variable;1004;3750000;1466;PN
2023;11;24;10066848163;FICs;10007;602718;1466;PN
2023;11;24;10032184607;Renta Variable;1014;6151200;1468;PN
2023;11;24;100900000000;FICs;1019;21346542;1467;PF
2023;11;24;10079142847;Renta Variable;1017;1860000;1468;PF
2023;11;24;10020203023;Renta Fija;1000;424237600;1468;PR
2023;11;24;10041560001;Renta Variable;1004;1250000;1466;PN
2023;11;24;100902000000;FICs;1019;1018823092;1467;PF
2023;11;24;10026419826;Renta Variable;1005;74811;1466;PN
2023;11;24;1001030000000;Renta Variable;1004;1250000;1468;PN
2023;11;24;100830000000;Renta Variable;1005;124658;1466;PY
2023;11;24;10039616197;Renta Variable;1012;12923520;1466;PN
2023;11;24;10038643094;FICs;1018;82086011;1466;PN
2023;11;24;10020203023;Renta Fija;1001;655224500;1468;PR
2023;11;24;10020203023;FICs;1020;62606468;1468;PR
2023;11;24;10020203023;FICs;10007;8304088;1468;PR
2023;11;24;100890000000;Renta Fija;None;118328000;1468;PR
2023;11;24;10038643094;Renta Variable;1005;74811;1466;PN
2023;11;24;10038643094;FICs;10007;277393;1466;PN
2023;11;24;10039616197;Renta Variable;1004;2500000;1466;PN
2023;11;24;100890000000;FICs;1019;24643586;1468;PR
2023;11;24;10039616197;Renta Variable;1004;2500000;1466;PN
2023;11;24;10039553126;FICs;1018;616766;1466;PN
2023;11;24;1001090000000;FICs;10007;1678;1468;PN
2023;11;24;100800000000;FICs;1019;406783719;1467;PY
2023;11;24;10079142847;Renta Variable;1014;3215400;1468;PF
2023;11;24;1001010000000;FICs;10007;28894613;1468;PN
2023;11;24;10020203023;FICs;None;482176931;1468;PR
2023;11;24;10032184607;Renta Variable;None;3885000;1468;PN
2023;11;24;100890000000;FICs;1008;21298690;1468;PR
2023;11;24;10032184607;FICs;1019;75014;1468;PN
2023;11;24;10039538018;FICs;10007;322963;1468;PN
2023;11;24;100900000000;FICs;10007;691063971;1467;PF
2023;11;24;10079142847;Renta Variable;1004;3715000;1468;PF
2023;11;24;10032184607;Renta Variable;1016;4389000;1468;PN
2023;11;24;10032184607;Renta Variable;1015;3910000;1468;PN
2023;11;24;10021382511;Renta Variable;1004;2500000;1466;PN
2023;11;24;10039616197;Renta Variable;1005;74811;1466;PN
2023;11;24;10032184607;Renta Variable;1011;6655460;1468;PN
2023;11;24;10020203023;FICs;1009;105895565;1468;PR
2023;11;27;1001140000000;Renta Variable;1004;2575000;1466;PN
2023;11;27;10071747544;FICs;10007;599286;1469;PN
2023;11;27;10098522488;Renta Variable;1004;3862500;1466;PN
2023;11;27;100902000000;FICs;1019;1019768842;1467;PF
2023;11;27;10032184607;Renta Variable;None;3885000;1468;PN
2023;11;27;10079142847;Renta Variable;1017;1891000;1468;PF
2023;11;27;100800000000;FICs;1019;407161327;1467;PY
2023;11;27;100900000000;FICs;10007;691767984;1467;PF
2023;11;27;100890000000;FICs;1008;21323851;1468;PR
2023;11;27;10039616197;Renta Variable;1012;12923520;1466;PN
2023;11;27;10014876058;Renta Variable;1012;7056120;1466;PN
2023;11;27;10039553126;FICs;1018;617273;1466;PN
2023;11;27;10039616197;Renta Variable;1012;12923520;1466;PN
2023;11;27;10026419826;Renta Variable;1005;74811;1466;PN
2023;11;27;100830000000;Renta Variable;1005;124658;1466;PY
2023;11;27;1004870235;Renta Variable;1004;8523250;1469;PN
2023;11;27;10032184607;Renta Variable;1022;5233011;1468;PN
2023;11;27;10039538018;FICs;10007;323292;1468;PN
2023;11;27;100890000000;FICs;1019;24666462;1468;PR
2023;11;27;10079142847;Renta Variable;1004;3826450;1468;PF
2023;11;27;10038643094;FICs;1018;82153549;1466;PN
2023;11;27;10032184607;Renta Variable;1015;3950000;1468;PN
2023;11;27;10020203023;FICs;1019;90510253;1468;PR
2023;11;27;100900000000;FICs;1019;21366358;1467;PF
2023;11;27;100800000000;FICs;1019;407161327;1467;PY
2023;11;27;10041560001;Renta Variable;1004;1287500;1466;PN
2023;11;27;10039616197;Renta Variable;1004;2575000;1466;PN
2023;11;27;10020203023;FICs;None;480859692;1468;PR
2023;11;27;10079142847;Renta Variable;1014;3240700;1468;PF
2023;11;27;10036346714;Renta Variable;1004;1287500;1466;PN
2023;11;27;10039616197;Renta Variable;1005;74811;1466;PN
2023;11;27;10020203023;Renta Fija;1000;424643600;1468;PR
2023;11;27;1001140000000;FICs;10007;10015;1468;PN
2023;11;27;10020203023;FICs;1009;1972323;1468;PR
2023;11;27;10020203023;FICs;1020;62626157;1468;PR
2023;11;27;10038643094;FICs;10007;277676;1466;PN
2023;11;27;10079414250;Renta Variable;1004;1287500;1466;PN
2023;11;27;10021382511;Renta Variable;1004;2575000;1466;PN
2023;11;27;100900000000;FICs;10007;691767984;1467;PF
2023;11;27;100901000000;FICs;1019;28338018;1467;EG
2023;11;27;100900000000;FICs;1019;21366358;1467;PF
2023;11;27;1001090000000;FICs;10007;1680;1468;PN
2023;11;27;10032184607;FICs;1019;75083;1468;PN
2023;11;27;10032184607;Renta Variable;1002;7500000;1468;PN
2023;11;27;10032184607;Renta Variable;1016;4452840;1468;PN
2023;11;27;1001050000000;Renta Variable;1004;2575000;1466;PN
2023;11;27;1001010000000;FICs;10007;28924049;1468;PN
