# ingestion_year;ingestion_month;ingestion_day;id_sistema_cliente;macroactivo;cod_activo;aba;cod_perfil_riesgo;cod_banca
2023;11;23;10079142847;Renta Variable;PFGRUPSURA;1860000;conservador;prefencial
2023;11;23;1,00114E+12;FICs;FIDUCUENTA;10003;conservador;personal
2023;11;23;10014876058;Renta Variable;ISA;7176500;sin definir;personal
2023;11;23;10032184607;Renta Variable;PFCEMARGOS;3900000;conservador;personal
2023;11;23;10026419826;Renta Variable;ETB;74811;sin definir;personal
2023;11;23;10020203023;Renta Fija;CDT TUYATFB360;654810500;conservador;privada
2023;11;23;1,009E+11;FICs;FIDUCUENTA;690893510;moderado;prefencial
2023;11;23;10041560001;Renta Variable;ECOPETROL;1257500;sin definir;personal
2023;11;23;1,00902E+11;FICs;RENTA LIQUIDEZ;1018564215;moderado;prefencial
2023;11;23;10039616197;Renta Variable;ISA;13144000;sin definir;personal
2023;11;23;1,009E+11;FICs;RENTA LIQUIDEZ;21341118;moderado;prefencial
2023;11;23;1,008E+11;FICs;RENTA LIQUIDEZ;406680358;moderado;pymes
2023;11;23;10036346714;Renta Variable;ECOPETROL;1257500;sin definir;personal
2023;11;23;1,0089E+11;Renta Fija;None;118297000;conservador;privada
2023;11;23;10039616197;Renta Variable;ETB;74811;sin definir;personal
2023;11;23;10098522488;Renta Variable;ECOPETROL;3772500;sin definir;personal
2023;11;23;1,00101E+12;FICs;FIDUCUENTA;28887486;conservador;personal
2023;11;23;10020203023;FICs;RENTA LIQUIDEZ;90403335;conservador;privada
2023;11;23;10032184607;Renta Variable;GRUPO BOLIVAR;6658200;conservador;personal
2023;11;23;10039616197;Renta Variable;ISA;13144000;sin definir;personal
2023;11;23;1,009E+11;FICs;FIDUCUENTA;690893510;moderado;prefencial
2023;11;23;10032184607;Renta Variable;PFBCOLOM;6230400;conservador;personal
2023;11;23;10032184607;Renta Variable;None;3885000;conservador;personal
2023;11;23;1,00103E+12;Renta Variable;ECOPETROL;1257500;conservador;personal
2023;11;23;10038643094;FICs;PLANSEMILLA;82084649;sin definir;personal
2023;11;23;1,0083E+11;Renta Variable;ETB;124658;sin definir;pymes
2023;11;23;10038643094;Renta Variable;ETB;74811;sin definir;personal
2023;11;23;10079142847;Renta Variable;ECOPETROL;3737290;conservador;prefencial
2023;11;23;10032184607;FICs;RENTA LIQUIDEZ;74994;conservador;personal
2023;11;23;10032184607;Renta Variable;PFCORFICOL;4389000;conservador;personal
2023;11;23;1,00109E+12;FICs;FIDUCUENTA;1678;conservador;personal
2023;11;23;1,0089E+11;FICs;FIDURENTA;21292766;conservador;privada
2023;11;23;1,008E+11;FICs;RENTA LIQUIDEZ;406680358;moderado;pymes
2023;11;23;10039616197;Renta Variable;ETB;74811;sin definir;personal
2023;11;23;10020203023;FICs;FIDUCUENTA;8302039;conservador;privada
2023;11;23;10020203023;FICs;None;483026998;conservador;privada
2023;11;23;1,0089E+11;FICs;RENTA LIQUIDEZ;24637324;conservador;privada
2023;11;23;1,00901E+11;FICs;RENTA LIQUIDEZ;28304543;moderado;empresas
2023;11;23;1,00105E+12;Renta Variable;ECOPETROL;2515000;sin definir;personal
2023;11;23;10039616197;Renta Variable;ECOPETROL;2515000;sin definir;personal
2023;11;23;10020203023;FICs;SURA CREDITO PRIVADO;62586311;conservador;privada
2023;11;23;1004870235;Renta Variable;ECOPETROL;8324650;agresivo;personal
2023;11;23;10039553126;FICs;PLANSEMILLA;616755;sin definir;personal
2023;11;23;10039538018;FICs;FIDUCUENTA;322883;conservador;personal
